資產層級,資產類別,資產名稱,威脅,威脅說明,威脅 Reference,威脅源,威脅源說明,威脅源 Reference,弱點,弱點說明,弱點 Reference,對應ISO 42005資產類別,衝擊類別,衝擊說明,衝擊 Reference
組織,有形資產,AI 模型 (演算法),模型後門的觸發 (Triggering of Model Backdoor),模型因先前遭受訓練資料污染而已被植入後門。在生產環境中，攻擊者提交一個帶有特定觸發器 (Trigger) 的輸入，激活該後門，使模型產生攻擊者預設的惡意輸出。,MITRE ATLAS: AML.T0020,外部攻擊者,預先知道後門觸發條件的攻擊者，在生產環境中提交特定輸入，以利用該漏洞。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏對模型行為的異常檢測,系統未能對模型的預測結果、置信度分數等進行監控，無法偵測到因後門被觸發而產生的異常輸出行為。,"NIST AI RMF 1.0, MANAGE 3",6.5 演算法與模型資訊,可靠性 / 安全性與隱私,模型在特定情況下完全受攻擊者操控，可能導致系統做出錯誤的關鍵決策、洩漏機密資訊或執行惡意指令。,Clause 6.8.2.2
組織,有形資產,AI 模型 (演算法),缺乏可解釋性 (Lack of Explainability),模型的內部決策邏輯是一個「黑盒子」，無法向用戶、監管機構或內部人員提供其做出特定預測的合理解釋。,NIST AI RMF 1.0 (Core: GOVERN 4.1),開發團隊 / 系統架構師,在選擇模型架構時，僅追求最高的預測準確率，而忽略了模型的可解釋性需求，尤其是在高風險的應用場景中。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能在模型開發中整合可解釋性技術,在模型開發生命週期中，未能導入 LIME、SHAP 等可解釋性分析工具，也未能建立向利害關係人解釋模型決策的流程。,"NIST AI RMF 1.0, GOVERN 4.1",6.5 演算法與模型資訊,透明度與可解釋性 / 責任制,當模型做出錯誤或具爭議性的決策時，組織無法解釋原因，難以進行除錯、改進或釐清責任，也無法滿足法規的透明度要求。,Clause 6.3.4
組織,有形資產,AI 模型 (演算法),演算法偏見放大 (Algorithmic Bias Amplification),模型在學習過程中，不僅複製了訓練數據中存在的社會偏見，甚至將其放大，導致其輸出結果比原始數據更加歧視特定群體。,NIST AI RMF 1.0 (Core: MAP 2.2),模型本身 / 開發團隊,模型演算法的內在特性（如目標函數的設計）導致其傾向於放大數據中的主流模式，而忽略或懲罰少數群體模式。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對演算法偏見的量化評估與緩解,在模型選型和開發過程中，未能使用專門的工具來評估和比較不同演算法放大偏見的風險，也未採用偏見緩解技術。,"NIST AI RMF 1.0, MAP 2.2",6.5 演算法與模型資訊,公平性,產生系統性的歧視，對受影響群體造成更嚴重的負面影響，並使組織面臨更大的法律與聲譽風險。,Clause 6.8.2.3
組織,有形資產,AI 模型 (演算法),供應鏈攻擊 (Supply Chain Attack),組織使用了從第三方（如開源社群、模型市集）獲取的預訓練模型、函式庫或容器，而這些元件已被植入惡意程式碼、後門或漏洞。,MITRE ATLAS: AML.T0060,國家級行為者 / 組織犯罪,攻擊者污染流行的開源 AI 套件或模型，以對大量下游用戶發起大規模攻擊。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏對第三方 AI 元件的安全審查,在將第三方模型或函式庫整合到自身系統前，未能進行充分的安全掃描、程式碼審計或來源驗證。,"NIST AI RMF 1.0, GOVERN 2.2",6.3 AI 系統資訊,安全性與隱私,惡意程式碼可能竊取組織的敏感數據、癱瘓系統，或將模型本身變成攻擊其他系統的武器。,Clause 6.8.2.2
組織,有形資產,AI 模型 (演算法),非預期的「捷徑學習」 (Shortcut Learning),模型學習到了數據中一個與真實因果關係無關的虛假相關性來做出預測（走捷徑），導致其在面對略有不同的新數據時完全失效。,NIST AI RMF 1.0 (Core: MEASURE 2.3),模型本身 / 數據策展團隊,訓練數據中存在一些非本質的、偶然的特徵，而模型錯誤地將其當作關鍵預測信號。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",對模型的泛化能力與因果理解驗證不足,模型的評估過於依賴單一的測試集，未能透過更具挑戰性的壓力測試（如對抗性驗證）來檢測模型是否學到了真正的規律。,"NIST AI R-MF 1.0, MEASURE 2.3",6.5 演算法與模型資訊,可靠性 / 透明度與可解釋性,模型看似準確但極其脆弱，在關鍵時刻會因微小變化而做出荒謬的錯誤判斷，且其決策邏輯難以被解釋和信任。,Clause 6.8.2
組織,有形資產,AI 模型 (演算法),模型設定錯誤 (Model Misconfiguration),在部署模型時，相關的超參數、API 端點安全設定、資源分配等配置出現錯誤，導致模型性能不佳或產生安全漏洞。,NIST AI RMF 1.0 (Core: GOVERN 3.1),維運團隊 (Operations Team),負責部署的工程師因疏忽或對模型理解不足，在生產環境中套用了錯誤的配置文件。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏標準化與自動化的部署流程 (IaC/MLOps),未能將模型部署的相關配置以程式碼的形式進行管理和審查，部署過程依賴大量手動操作，容易出錯。,"NIST AI RMF 1.0, GOVERN 3.1",6.3 AI 系統資訊,可靠性 / 安全性與隱私,錯誤的配置可能導致模型性能遠低於預期，或使 API 端點暴露於風險之中，允許未經授權的存取。,Clause 6.8.2.1
組織,有形資產,AI 模型 (演算法),缺乏可申訴性與補救機制 (Lack of Contestability and Redress),當模型做出對個人有重大影響的決策（如拒絕貸款）時，缺乏一個清晰、有效的流程，讓受影響者可以對此決策提出質疑、要求解釋並尋求補救。,NIST AI RMF 1.0 (Core: GOVERN 5.2),法律/合規/產品團隊,組織在設計 AI 系統時，僅關注技術實現，而忽略了為用戶提供程序正義和權利救濟的配套機制。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能將 AI 治理與用戶權利流程相結合,組織的 AI 風險管理框架未能與客戶服務、法務和用戶權利響應流程進行有效整合。,"NIST AI RMF 1.0, GOVERN 5.2",6.5 演算法與模型資訊,責任制 / 公平性,剝奪了用戶的程序權利，可能違反相關法規（如 GDPR 中的自動化決策權利），並嚴重損害用戶對組織的信任。,Clause 6.3.4
組織,有形資產,AI 模型 (架構),架構設計不當 (Inappropriate Architecture Design),開發團隊選擇了一個對於目標任務而言過於複雜或過於簡單的模型架構，導致模型無法達到預期的性能或效率。,NIST AI RMF 1.0 (Core: MAP 1.2),開發團隊 / AI 架構師,團隊可能因經驗不足、追求新潮技術或對業務問題理解不深，而選擇了不合適的模型架構。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏系統性的模型選型與評估流程,組織未能建立一個標準化的流程，根據任務需求、數據特性、資源限制等多維度來評估和選擇最合適的模型架構。,"NIST AI RMF 1.0, MAP 1.2",6.5 演算法與模型資訊,可靠性,模型可能出現過擬合（過於複雜）或欠擬合（過於簡單）的問題，導致其泛化能力差，在真實世界中無法穩定地執行任務。,Clause 6.8.2
組織,有形資產,AI 模型 (架構),架構的智慧財產權竊取 (Intellectual Property Theft of Architecture),競爭對手或惡意內部人員透過逆向工程、間諜活動或分析公開的論文/產品，竊取了組織精心設計的專有模型架構。,NIST AI RMF 1.0 (Core: PROTECT 1.2),競爭對手 / 敵對的內部人員,旨在獲取組織的核心技術資產，以縮短研發時間，或複製其產品的關鍵功能。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏對模型架構的商業機密保護措施,對於描述模型架構的設計文件、程式碼和內部知識庫，未能實施嚴格的存取控制和保密協議。,"NIST AI RMF 1.0, PROTECT 1.2",6.5 演算法與模型資訊,安全性與隱私,組織喪失了透過獨特模型架構所建立的市場競爭優勢和技術壁壘，造成長期的商業損失。,Clause 6.8.2.1
組織,有形資產,AI 模型 (架構),架構本身的脆弱性 (Inherent Architectural Vulnerabilities),某些模型架構天生就對特定類型的攻擊（如對抗性攻擊）更為脆弱，而開發團隊在選型時未充分考慮到這一點。,MITRE ATLAS: AML.T0030,外部攻擊者,利用模型架構的內在數學特性，以極低的成本生成能成功欺騙模型的對抗性樣本。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",對模型架構的安全性評估不足,在模型選型階段，未能對不同架構的對抗性穩健性、隱私保護能力等安全屬性進行充分的評估和比較。,"NIST AI RMF 1.0, MEASURE 2.3",6.5 演算法與模型資訊,安全性與隱私,即使模型訓練得很好，其底層架構的脆弱性也使其容易受到攻擊，導致安全防護被輕易繞過。,Clause 6.8.2.2
組織,有形資產,AI 模型 (架構),缺乏可解釋性的架構 (Unexplainable Architecture),選擇了如深度神經網路等高度複雜的「黑盒子」架構，使其決策過程難以被人類理解和審查。,NIST AI RMF 1.0 (Core: GOVERN 4.1),開發團隊 / AI 架構師,在高風險決策場景中，僅為了追求性能而犧牲了架構的可解釋性。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能根據風險等級匹配可解釋性需求,組織未能根據 AI 應用的風險等級，來要求模型架構必須達到對應的可解釋性水平。,"NIST AI RMF 1.0, GOVERN 4.1",6.5 演算法與模型資訊,透明度與可解釋性 / 責任制,當模型做出錯誤或歧視性決策時，組織無法解釋原因，難以除錯、釐清責任，也無法滿足監管要求。,Clause 6.3.4
組織,有形資產,AI 模型 (架構),架構與硬體的失配 (Architecture-Hardware Mismatch),設計或選擇的模型架構無法在目標硬體上高效運行，或需要遠超出預算的硬體資源才能達到可接受的性能。,NIST AI RMF 1.0 (Core: MAP 1.3),開發團隊 / AI 架構師,在設計架構時，脫離了現實的部署環境和硬體限制，導致模型難以落地。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏軟硬體協同設計與評估,在 AI 系統的設計初期，未能將模型架構的選擇與硬體基礎設施的規劃進行通盤考慮和評估。,"NIST AI RMF 1.0, MAP 1.3",6.3 AI 系統資訊,可靠性,導致模型推論延遲過高、處理能力不足或營運成本過高，無法滿足業務需求，使得整個專案失敗。,Clause 6.8.2
組織,有形資產,AI 模型 (架構),架構的技術債 (Technical Debt in Architecture),為了快速驗證概念，團隊選擇了一個臨時性或過於客製化的架構，導致後續的維護、擴展和重現變得極其困難。,NIST AI RMF 1.0 (Core: GOVERN 3),開發團隊,在專案初期，為了追求速度而犧牲了架構的標準化、模組化和文件化。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏長期的架構演進與生命週期規劃,組織對 AI 模型的開發仍停留在專案制，缺乏從產品角度對其架構進行長期規劃與重構的機制。,"NIST AI RMF 1.0, GOVERN 3",6.5 演算法與模型資訊,可靠性 / 責任制,使得模型的迭代更新變得緩慢且容易出錯，也讓新成員難以理解和接手，增加了系統的脆弱性。,Clause 6.3.4
組織,有形資產,AI 模型 (架構),第三方架構的授權風險 (Licensing Risks of Third-party Architectures),使用了來自開源社群或第三方供應商的模型架構，但其授權條款（License）與組織的商業模式不相容（如 GPL 授權）。,NIST AI RMF 1.0 (Core: GOVERN 2.2),開發團隊 / 法務團隊,開發人員在引用開源架構時，未能仔細審查其授權條款；或法務團隊缺乏對 AI 特定授權的理解。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對開源與第三方元件的授權審查流程,組織未能建立一個強制性的流程，在引入任何外部程式碼或架構前，對其授權的合規性進行審查。,"NIST AI RMF 1.0, GOVERN 2.2",6.5 演算法與模型資訊,責任制,可能導致法律糾紛，組織被迫公開其專有程式碼，或支付高額的授權費用，嚴重影響商業利益。,Clause 6.3.4
組織,有形資產,AI 模型 (架構),過度擬合於特定數據的架構 (Architecture Overfitted to Specific Data),模型架構的設計過度依賴於初始訓練數據的特性，導致其對於新數據源或新場景的適應性極差，難以遷移或擴展。,NIST AI RMF 1.0 (Core: MEASURE 2.2),開發團隊,團隊在設計架構時，未能考慮到未來的擴展性需求，使其與特定數據集「綁死」。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",對架構的泛化與遷移能力評估不足,在評估架構時，僅關注其在單一任務上的表現，而未能測試其在不同但相關的任務或數據集上的表現。,"NIST AI RMF 1.0, MEASURE 2.2",6.5 演算法與模型資訊,可靠性,當業務需要擴展或數據環境發生變化時，需要完全重新設計和訓練模型，大大增加了維護成本和時間。,Clause 6.8.2
組織,有形資產,AI 模型 (架構),架構文檔不全或過時 (Incomplete or Outdated Architecture Documentation),描述模型架構的設計理念、結構、接口和依賴關係的文檔缺失、不準確或未能與實際的程式碼同步更新。,NIST AI RMF 1.0 (Core: GOVERN 3.3),開發團隊,團隊在快速迭代的過程中，忽略了同步更新文檔的重要性。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏強制性的文檔規範與審查機制,組織的開發流程中，沒有將撰寫和更新技術文檔作為一個必要的、可審查的環節。,"NIST AI RMF 1.0, GOVERN 3.3",6.5 演算法與模型資訊,透明度與可解釋性 / 責任制,使得模型的審計、交接、除錯和風險評估變得極其困難，也無法向監管機構證明其設計的合規性。,Clause 6.3.4
組織,有形資產,AI 模型 (架構),架構對公平性的影響 (Impact of Architecture on Fairness),某些架構（如注意力機制）可能會不經意地將焦點過度集中在數據中的某些敏感屬性上，從而放大偏見。,NIST AI RMF 1.0 (Core: MAP 2.2),AI 架構師 / 模型本身,模型架構的內在機制使其在學習過程中，更容易捕捉並強化數據中的偏見模式。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",未能在架構設計中考慮公平性原則,在設計和選擇架構時，未能分析其潛在的偏見放大效應，也未能引入旨在提升公平性的架構設計。,"NIST AI RMF 1.0, MAP 2.2",6.5 演算法與模型資訊,公平性,即使使用相對公平的數據進行訓練，架構本身也可能成為產生歧視性結果的根源。,Clause 6.8.2.3
組織,有形資產,AI 模型 (權重),權重檔案竊取 (Model Weights Theft),未經授權的第三方直接竊取儲存的模型權重檔案，獲得了模型的核心智慧財產。,MITRE ATLAS: AML.T0015,敵對的內部人員 / 外部攻擊者,離職員工拷貝權重檔案；或駭客入侵模型庫、伺服器或 CI/CD 流程，直接下載檔案。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",模型權重檔案的存取控制與加密不足,儲存權重檔案的系統缺乏嚴格的存取權限控制，且檔案本身未進行加密或數位簽章。,"NIST AI RMF 1.0, GOVERN 2",6.5 演算法與模型資訊,安全性與隱私,組織喪失核心的技術與商業競爭優勢。攻擊者還可能對竊取的權重進行分析，找出可用於攻擊生產系統的漏洞。,Clause 6.8.2.1
組織,有形資產,AI 模型 (權重),權重檔案篡改/植入後門 (Model Weights Tampering/Backdooring),攻擊者在模型權重檔案分發或部署的過程中，對其進行惡意修改，植入不易察覺的後門或破壞其性能。,MITRE ATLAS: AML.T0060,供應鏈攻擊者 / 惡意內部人員,在 CI/CD 流程中，或透過入侵模型庫，用惡意版本替換掉正常的權重檔案。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏對模型權重檔案的完整性校驗,在載入模型權重進行推論前，未能使用雜湊值 (Hash) 或數位簽章來驗證其是否來自可信來源且未被竄改。,"NIST AI RMF 1.0, PROTECT 1.2",6.5 演算法與模型資訊,可靠性 / 安全性與隱私,導致部署在生產環境中的模型存在後門或性能缺陷，對系統的穩定性與安全性構成嚴重威脅。,Clause 6.8.2.2
組織,有形資產,AI 模型 (權重),從權重中逆向工程訓練數據 (Reversing Training Data from Weights),攻擊者透過分析模型權重的數值，反向推斷或重建出部分用於訓練的敏感數據。,MITRE ATLAS: AML.T0012,外部研究員 / 競爭對手,旨在竊取有價值的訓練數據，或揭露模型訓練過程中使用的個人隱私資訊。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",模型對訓練數據的過度記憶 (Over-memorization),模型在訓練時記憶了特定樣本的細節而非泛化特徵，這些敏感細節被「編碼」到了權重中。,"NIST AI RMF 1.0, MEASURE 1.2",6.5 演算法與模型資訊,安全性與隱私,即使原始訓練數據已被刪除，其包含的敏感資訊（如個資、商業機密）仍可能透過權重檔案洩漏。,Clause 6.5.4 (j)
組織,有形資產,AI 模型 (權重),權重中固化的偏見 (Biases Embedded in Weights),訓練數據中存在的社會偏見、歧視性模式已被模型學習並固化在其權重參數中。,NIST AI RMF 1.0 (Core: MAP 2.2),歷史數據 / 社會本身,歷史數據中反映出的真實世界偏見，被模型無差別地學習並儲存在權重裡。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對模型權重與決策的偏見審計,在模型訓練完成後，未能使用專門的工具和技術來檢測其權重是否對特定敏感屬性有異常高的依賴，或其決策是否存在偏見。,"NIST AI RMF 1.0, MEASURE 1.1",6.5 演算法與模型資訊,公平性,模型權重成為系統性歧視的載體，即使更換了輸入數據，其內在的偏見依然會導致不公平的決策。,Clause 6.8.2.3
組織,有形資產,AI 模型 (權重),權重檔案的意外洩漏 (Accidental Leakage of Model Weights),開發人員在分享程式碼（如上傳到 GitHub）、日誌或進行技術交流時，不慎將包含模型權重檔案的連結或檔案本身公開。,NIST AI RMF 1.0 (Core: GOVERN 2.1),疏忽的內部人員 (Negligent Insider),開發人員缺乏安全意識，在公開的平台上分享了包含敏感資產的專案檔案。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏對敏感資產外洩的監控與預防機制,未能部署數據外洩防護 (DLP) 工具，也缺乏對員工在公開平台活動的安全審查與教育訓練。,"NIST AI RMF 1.0, GOVERN 2.1",6.5 演算法與模型資訊,安全性與隱私,導致組織最核心的智慧財產被輕易獲取，其後果等同於模型竊取。,Clause 6.8.2.1
組織,有形資產,AI 模型 (權重),權重的可轉移性攻擊 (Transferability Attack),攻擊者利用一個竊取或複製的模型權重，製作出能成功攻擊生產環境中原始模型的對抗性樣本。,MITRE ATLAS: AML.T0030,外部攻擊者,攻擊者在本地分析竊取的權重，找出其脆弱性，並利用此脆弱性攻擊遠端的、更高價值的生產系統。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",未能考慮到黑箱攻擊場景,組織的防禦策略僅考慮了白箱攻擊（攻擊者了解模型內部），而忽略了基於權重可轉移性的黑箱攻擊威脅。,"NIST AI RMF 1.0, PROTECT 1.3",6.5 演算法與模型資訊,安全性與隱私,即使攻擊者無法直接存取生產模型，權重的洩漏也為他們提供了發動有效攻擊的「離線訓練場」。,Clause 6.8.2.2
組織,有形資產,AI 模型 (權重),過時的權重 (Outdated Weights),生產環境中運行的模型權重是較舊的版本，未能反映最新的數據模式、業務邏輯或安全補丁。,NIST AI RMF 1.0 (Core: MANAGE 2.2),維運團隊 / MLOps 流程,模型的再訓練與部署流程中斷或延遲，導致生產環境中的權重未能及時更新。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏自動化的模型更新與版本管理流程,未能建立一個自動化的 MLOps 流程，來確保一旦有性能更好或更安全的新權重版本通過測試，就能被及時部署到生產環境。,"NIST AI RMF 1.0, MANAGE 2.2",6.5 演算法與模型資訊,可靠性,模型的性能因無法適應數據漂移而下降，或因未能包含最新的安全修正而存在已知漏洞。,Clause 6.8.2
組織,有形資產,AI 模型 (權重),權重檔案與軟體環境的依賴衝突 (Dependency Conflict with Weights),新版本的模型權重，依賴於特定版本的軟體函式庫才能正確載入和運行，而生產環境的軟體版本與之不相容。,NIST AI RMF 1.0 (Core: GOVERN 3.1),開發與維運團隊 (Dev & Ops Teams),訓練與部署環境之間缺乏一致性管理，導致權重與其運行時的軟體依賴產生脫鉤。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏將權重與其依賴項打包的機制,未能使用容器化（如 Docker）或虛擬環境等技術，將特定版本的權重與其所需的軟體依賴打包在一起進行版本控制和部署。,"NIST AI RMF 1.0, GOVERN 3.1",6.3 AI 系統資訊,可靠性,導致模型部署失敗，或在運行時因底層函式庫的計算差異而產生無法預期的錯誤結果。,Clause 6.8.2
組織,有形資產,AI 模型 (權重),無法追溯權重的訓練來源 (Untraceable Weights Provenance),對於生產環境中運行的模型權重，無法清晰地追溯到它是用哪一版程式碼、哪一個數據集、在什麼配置下訓練出來的。,NIST AI RMF 1.0 (Core: GOVERN 3.3),開發團隊 / MLOps 流程,實驗和訓練過程缺乏系統性的紀錄，未能將每次訓練產出的權重與其完整的上下文（數據、程式碼、參數）進行關聯。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏實驗追蹤與模型註冊的工具與實踐,未能使用如 MLflow 等工具來自動記錄訓練過程的元數據，並將訓練好的權重註冊到一個中央化的模型庫中進行管理。,"NIST AI RMF 1.0, GOVERN 3.3",6.5 演算法與模型資訊,透明度與可解釋性 / 責任制,當模型權重出現問題時（如性能衰退、有偏見），無法回溯其根源，也無法精確地重現當時的訓練過程以進行除錯或審計。,Clause 6.3.4
組織,有形資產,AI 模型 (權重),權重中的有害知識 (Harmful Knowledge in Weights),對於在海量網際網路數據上預訓練的大型模型，其權重中可能記憶並固化了有害、不實或有毒的資訊。,NIST AI RMF 1.0 (Core: MAP 2.1),預訓練數據的提供者,用於預訓練的通用數據集中，不可避免地包含了來自網路的各種有害內容。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",對預訓練模型的內容與行為審核不足,在使用第三方預訓練模型的權重進行微調前，未能對其潛在的有害知識進行充分的評估和「對齊」(Alignment)。,"NIST AI RMF 1.0, MAP 2.1",6.5 演算法與模型資訊,公平性 / 安全性與隱私,模型在特定提示下，可能會生成有害、歧視性或虛假的內容，對用戶造成傷害，並給組織帶來嚴重的聲譽風險。,Clause 6.8.2.3
組織,有形資產,AI 系統 (硬體基礎設施),硬體故障 (Hardware Failure),用於 AI 模型訓練或推論的關鍵硬體元件（如 GPU、CPU、記憶體、硬碟）發生故障，導致服務中斷。,NIST SP 800-30 Rev. 1,環境因素 / 系統元件,硬體老化、電力不穩、散熱不良或元件本身存在製造缺陷。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-4",缺乏硬體冗餘與容錯機制,關鍵的 AI 運算節點為單點部署，沒有備援或自動故障轉移機制。,"NIST AI RMF 1.0, PROTECT 2",6.2 硬體,可靠性,長時間的訓練任務被迫中斷，造成巨大成本浪費；線上的推論服務不可用，直接影響業務運營。,Clause 6.8.2
組織,有形資產,AI 系統 (硬體基礎設施),硬體供應鏈攻擊 (Hardware Supply Chain Attack),組織採購的硬體（如伺服器、網路卡）在出廠前或運輸過程中，已被植入惡意的硬體後門或韌體。,NIST AI RMF 1.0 (Core: GOVERN 2.2),國家級行為者 / 組織犯罪,旨在對特定目標進行長期的、難以被偵測的監控或滲透。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏對硬體供應鏈的安全審查與驗證,在採購關鍵硬體設備時，未能對供應商的安全實踐進行審查，也缺乏對到貨設備進行韌體層級檢測的能力。,"NIST AI RMF 1.0, GOVERN 2.2",6.2 硬體,安全性與隱私,攻擊者可以繞過所有軟體層的安全防護，直接在硬體層級竊取敏感數據、篡改運算結果或控制整個系統。,Clause 6.8.2.1
組織,有形資產,AI 系統 (硬體基礎設施),物理存取與破壞 (Unauthorized Physical Access and Sabotage),未經授權的人員進入存放 AI 伺服器的機房，進行竊取、破壞或安裝惡意設備（如 USB 裝置）。,NIST SP 800-30 Rev. 1,敵對的內部人員 / 外部入侵者,旨在竊取硬體資產、破壞服務可用性或植入實體層的監控工具。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",數據中心的物理安全防護不足,機房缺乏嚴格的門禁管制、監視錄影、環境監控等物理安全措施。,"NIST AI RMF 1.0, PROTECT 2",6.2 硬體,安全性與隱私 / 可靠性,導致硬體資產損失、服務中斷，以及最敏感的數據（如模型權重、金鑰）在物理層級被直接竊取。,Clause 6.8.2.1
組織,有形資產,AI 系統 (硬體基礎設施),運算資源不足 (Insufficient Computing Resources),硬體基礎設施的運算能力（如 GPU 數量、記憶體大小）無法滿足模型訓練或大規模推論的需求，成為系統效能瓶頸。,NIST AI RMF 1.0 (Core: MAP 1.3),系統架構師 / 規劃團隊,在規劃階段，低估了 AI 模型對運算資源的實際需求，或未能預見業務增長帶來的負載壓力。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏充分的容量規劃與壓力測試,在系統上線前，未能進行充分的壓力測試來評估硬體在不同負載下的性能表現，也缺乏長期的容量規劃。,"NIST AI RMF 1.0, MAP 1.3",6.2 硬體,可靠性,導致模型訓練時間過長，無法快速迭代；或線上服務的反應時間過長、無法處理高併發請求，嚴重影響用戶體驗。,Clause 6.8.2
組織,有形資產,AI 系統 (硬體基礎設施),網路基礎設施瓶頸 (Network Infrastructure Bottleneck),在分散式訓練或大規模推論場景中，節點之間的網路頻寬或延遲成為瓶頸，限制了整個 AI 叢集的整體性能。,NIST AI RMF 1.0 (Core: MAP 1.3),網路架構師,未能為 AI 特有的高頻寬、低延遲的數據交換需求，設計專門的網路架構（如 InfiniBand）。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",對 AI 工作負載的網路需求分析不足,在設計網路基礎設施時，沿用了傳統的 IT 網路標準，未能充分考慮到 AI 運算中大量的數據傳輸需求。,"NIST AI RMF 1.0, MAP 1.3",6.2 硬體,可靠性,即使單個 GPU 的運算能力很強，也會因網路等待而長期處於閒置狀態，大大降低了整個昂貴硬體叢集的利用率和效率。,Clause 6.8.2
組織,有形資產,AI 系統 (硬體基礎設施),硬體驅動程式與韌體漏洞 (Vulnerabilities in Drivers and Firmware),運行 GPU 等加速器所需的底層驅動程式或硬體韌體本身存在安全漏洞，可能被攻擊者利用。,NIST SP 800-30 Rev. 1,外部攻擊者,利用已公開或 0-day 的驅動程式漏洞，獲得系統的核心權限或執行任意程式碼。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏對驅動與韌體的漏洞管理與更新機制,組織未能將硬體驅動程式和韌體納入常規的漏洞掃描和補丁管理流程中。,"NIST AI RMF 1.0, PROTECT 1.2",6.2 硬體,安全性與隱私,攻擊者可利用此類漏洞繞過作業系統層級的安全控制，直接攻擊系統底層，其危害性極高。,Clause 6.8.2.2
組織,有形資產,AI 系統 (硬體基礎設施),邊信道攻擊 (Side-Channel Attack),攻擊者透過監控硬體在運算時產生的物理信號（如功耗、電磁輻射、快取存取模式），來推斷正在處理的敏感數據或模型的內部資訊。,NIST AI RMF 1.0 (Core: PROTECT 1.1),外部攻擊者 (具備近距離物理存取能力),在多租戶的雲環境中，一個租戶可能透過邊信道攻擊，竊取在同一物理伺服器上運行的另一個租戶的 AI 模型的資訊。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-2",缺乏對多租戶環境的硬體層級隔離,在共享硬體資源的環境中，未能採用有效的硬體層級隔離技術，來防止不同租戶之間的資訊洩漏。,"NIST AI RMF 1.0, PROTECT 1.1",6.2 硬體,安全性與隱私,即使數據在記憶體中是加密的，其運算過程也可能透過物理信號洩漏模型的金鑰、權重或處理的數據內容。,Clause 6.8.2.1
組織,有形資產,AI 系統 (硬體基礎設施),硬體技術鎖定 (Hardware Vendor Lock-in),整個 AI 系統的軟體和演算法，深度依賴於特定硬體供應商的專有技術（如 NVIDIA 的 CUDA），導致難以遷移到其他平台。,NIST AI RMF 1.0 (Core: GOVERN 2.2),系統架構師 / 開發團隊,為了追求極致性能，在開發早期就全面採用了特定廠商的專有軟硬體生態，犧牲了長期的靈活性。,"NIST SP 800-30 Rev. 1, Appendix D, Table D-3",缺乏平台中立性與可移植性規劃,在技術選型時，未能優先考慮開放標準和跨平台相容的解決方案，也缺乏對供應商鎖定風險的評估。,"NIST AI RMF 1.0, GOVERN 2.2",6.2 硬體,責任制 / 可靠性,使組織在議價、供應鏈穩定性和技術路線選擇上，完全受制於單一供應商，喪失了自主性與風險抵禦能力。,Clause 6.3.4
