資產類別,資產名稱,威脅,威脅說明,威脅 Reference,威脅源,威脅源說明,威脅源 Reference,弱點,弱點說明,弱點 Reference
軟體,作業系統 (Linux ),6. /tmp 目錄競賽條件 (Race condition in /tmp),應用程式以不安全的方式在共享的 /tmp 目錄中創建暫存檔，攻擊者可預測檔名並預先建立符號連結(symlink)，導致程式覆寫重要系統檔案。,"NIST SP 800-30, H-4",內部攻擊者,攻擊者預測某個root執行的腳本會創建 /tmp/log，便預先建立一個 ln -s /etc/passwd /tmp/log 的連結。,"NIST SP 800-30, D-2",應用程式開發未使用安全的暫存檔創建函式,程式設計師未使用 mktemp 能創建隨機且唯一檔名的安全函式來處理暫存檔。,"CNS 27001, A.8.28"
軟體,作業系統 (Linux ),7. 行程注入 (Process injection),攻擊者利用 ptrace 偵錯工具，將惡意程式碼注入到一個正在運行的合法行程中，以躲避偵測。,"NIST SP 800-30, H-4",惡意軟體,無檔案(Fileless)惡意軟體，將自身注入到如 bash 或 cron 合法行程的記憶體中執行。,"NIST SP 800-30, D-2",缺乏對系統呼叫(syscall)的監控,"未使用SELinux, AppArmor或Falco工具來限制行程的行為，或監控可疑的系統呼叫。","CNS 27001, A.8.7"
軟體,作業系統 (Linux ),8. Fork bomb 攻擊,惡意或設計不良的程式，透過無限制地自我複製（fork），快速耗盡系統的行程數量與記憶體資源，導致系統崩潰。,"ISO/IEC 27005, A.10, TH11",內部攻擊者/意外,使用者執行了一個 :(){ :|:& };: 的shell炸彈，導致系統無法再創建新行程而死當。,"NIST SP 800-30, D-2",未對使用者資源進行限制 (No limits on user resources),未透過 ulimit 或 cgroups 機制，限制單一使用者可創建的行程數量或可使用的資源上限。,"CNS 27001, A.8.9"
軟體,作業系統 (Linux ),9. Inode 耗盡 (Inode exhaustion),攻擊者或失控的程式，創建大量的小檔案（即使檔案大小為0），耗盡檔案系統的inode數量，導致無法再創建任何新檔案。,"ISO/IEC 27005, A.10, TH11",外部攻擊者/意外,某個應用程式的bug導致其不斷在某個目錄下創建空的session檔案。,"NIST SP 800-30, D-2",缺乏對檔案系統inode使用率的監控,監控系統僅監控磁碟空間(block)使用率，未監控inode使用率，導致此類問題發生時無法即時告警。,"CNS 27001, A.8.16"
軟體,作業系統 (Linux ),10. 套件管理器來源遭竄改 (Package manager source tampering),"攻擊者入侵或透過中間人攻擊，竄改套件管理器(如APT, YUM)的軟體來源庫設定，使其指向惡意的伺服器，使用者安裝軟體時便會裝到後門版本。","NIST SP 800-30, D-2",外部攻擊者,攻擊者在內網中進行DNS欺騙，將 archive.ubuntu.com 指向自己架設的惡意主機。,"NIST SP 800-30, D-2",未強制使用HTTPS來源並驗證GPG簽章,套件管理器的來源設定未使用 https，或未強制檢查下載套件的GPG簽章是否有效。,"CNS 27001, A.5.21"
軟體,資料庫管理系統 (MS-SQL),1. SQL注入式攻擊 (SQL Injection),攻擊者利用應用程式漏洞，注入MS-SQL特有的T-SQL語法，以竊取資料或執行系統指令。,"ISO/IEC 27005, A.10, TH10",外部攻擊者,攻擊者注入 '; EXEC master..xp_cmdshell 'net user' 來嘗試列出系統帳號。,"NIST SP 800-30, D-2",應用程式未使用參數化查詢,應用程式開發時，直接將使用者輸入的字串串接成SQL查詢語句。,"CNS 27001, A.8.28"
軟體,資料庫管理系統 (MS-SQL),2. 透過 xp_cmdshell 執行作業系統指令 (OS command execution via xp_cmdshell),攻擊者在取得資料庫存取權後，利用 xp_cmdshell 這個預存程序，以SQL Server服務帳號的權限在作業系統上執行任意指令。,"NIST SP 800-30, H-4",外部攻擊者/內部攻擊者,攻擊者透過SQL注入，執行 EXEC xp_cmdshell 'whoami' 來確認當前的作業系統權限。,"NIST SP 800-30, D-2",未停用或限制危險的預存程序,資料庫安全強化不足，保留了 xp_cmdshell 非必要但高風險的內建功能。,"CNS 27001, A.8.9"
軟體,資料庫管理系統 (MS-SQL),3. sa 帳號弱密碼 (Weak 'sa' password),SQL Server的最高權限管理員 sa 帳號，使用預設或容易猜測的密碼，導致資料庫可被輕易接管。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),DBA在安裝SQL Server時，為了方便測試而設定了簡單的 sa 密碼，但之後忘了修改或停用。,"NIST SP 800-30, G-4",缺乏密碼強度與變更政策,資料庫本身未強制設定複雜性密碼，或公司政策未要求定期變更資料庫特權帳號密碼。,"CNS 27001, A.5.17"
軟體,資料庫管理系統 (MS-SQL),4. 資料庫服務暴露於公網 (Publicly exposed database),SQL Server的預設埠 1433/TCP 被設定為對整個網際網路開放，讓攻擊者可以直接進行連線嘗試與漏洞掃描。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),雲端主機的防火牆(安全群組)設定錯誤，允許任何來源IP連線至TCP 1433埠。,"NIST SP 800-30, G-4",網路區域劃分與存取控制不足,未將資料庫伺服器放置於獨立的、受嚴格存取管制的網路區域中。,"CNS 27001, A.8.20"
軟體,資料庫管理系統 (MS-SQL),5. 過高的應用程式連線權限 (Excessive application privileges),連接資料庫的應用程式帳號，被授予了 db_owner 或 sysadmin 過高的權限，而非僅限其所需的最小權限。,"ISO/IEC 27005, A.10, TI03",開發人員 (意外),開發者為排除權限問題，便宜行事將應用程式帳號加入 db_owner 角色。,"NIST SP 800-30, G-4",未落實最小權限原則,"未針對應用程式的功能，精細地設定其對資料庫物件(Table, View, Stored Procedure)的SELECT/INSERT/UPDATE/DELETE權限。","CNS 27001, A.5.15"
軟體,資料庫管理系統 (MS-SQL),6. 未啟用稽核日誌 (Audit logging disabled),SQL Server未啟用C2稽核或更詳細的稽核規格，導致無法追蹤誰在何時對資料庫進行了存取、修改或高風險操作。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),DBA擔心啟用稽核會影響效能，因此保持其預設的關閉狀態。,"NIST SP 800-30, G-4",缺乏資料庫活動監控(DAM),沒有部署專門的工具來監控、記錄與分析所有對資料庫的連線與查詢活動。,"CNS 27001, A.8.15"
軟體,資料庫管理系統 (MS-SQL),7. 資料庫軟體未修補 (Unpatched database software),SQL Server存在已公開的漏洞（如遠端執行、權限提升），但DBA未及時安裝廠商發布的安全修補程式(Patch)或累積更新(CU)。,"NIST SP 800-30, H-4",外部攻擊者,攻擊者利用自動化工具，掃描網路上存在特定CVE漏洞的SQL Server主機。,"NIST SP 800-30, D-2",弱點與修補程式管理流程不足,缺乏定期掃描資料庫漏洞的機制，或因擔心影響穩定性而延遲安裝重要的安全更新。,"CNS 27001, A.8.8"
軟體,資料庫管理系統 (MS-SQL),8. 錯誤的備份檔案權限 (Improper backup file permissions),產生的 .bak 備份檔，其檔案系統權限被設為任何人皆可讀取，導致非授權人員可輕易複製整個資料庫。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),備份腳本未指定備份檔的權限，導致其繼承了目錄的寬鬆預設權限。,"NIST SP 800-30, G-4",備份程序未考慮安全性,在設計備份流程時，僅考慮到備份的成功與否，未規劃備份檔本身的存取控制與加密。,"CNS 27001, A.8.13"
軟體,資料庫管理系統 (MS-SQL),"9. 未啟用透明資料加密 (Transparent Data Encryption, TDE not enabled)","資料庫檔案(.mdf, .ldf)在靜止狀態下未受加密保護，若伺服器實體硬碟或備份檔遭竊，資料可被輕易讀取。","ISO/IEC 27005, A.10, TH07",外部攻擊者/內部攻擊者,攻擊者在取得作業系統權限後，可以直接複製資料庫檔案，並附加到自己的SQL Server執行個體中。,"NIST SP 800-30, D-2",未落實靜態資料加密(Encryption at Rest),未啟用SQL Server內建的TDE功能來對資料庫檔案進行整體加密。,"CNS 27001, A.8.24"
軟體,資料庫管理系統 (MS-SQL),10. CLR 組件濫用 (Abuse of CLR assemblies),攻擊者上傳一個惡意的.NET組件(CLR assembly)到資料庫中，並建立對應的預存程序，可用於執行更複雜的惡意程式碼。,"NIST SP 800-30, H-4",外部攻擊者/內部攻擊者,攻擊者利用 CREATE ASSEMBLY 來載入一個可以建立網路連線或讀寫檔案的惡意組件。,"NIST SP 800-30, D-2",未停用或限制 clr enabled 選項,資料庫伺服器組態中允許載入未經驗證的CLR組件，提供了攻擊者一個強大的後門管道。,"CNS 27001, A.8.9"
軟體,資料庫管理系統 (Oracle),1. SQL注入式攻擊 (SQL Injection),攻擊者透過應用程式漏洞，注入Oracle特有的PL/SQL語法，以竊取資料或執行惡意函式。,"ISO/IEC 27005, A.10, TH10",外部攻擊者,攻擊者利用聯合查詢(UNION)來竊取 ALL_TABLES 或 ALL_TAB_COLUMNS 中的資料庫結構資訊。,"NIST SP 800-30, D-2",應用程式未使用繫結變數 (Bind Variables),應用程式開發時，直接將使用者輸入的字串串接成PL/SQL語句，而非使用安全的繫結變數。,"CNS 27001, A.8.28"
軟體,資料庫管理系統 (Oracle),2. TNS Listener 漏洞攻擊 (TNS Listener vulnerability exploit),Oracle的網路監聽器(TNS Listener)存在漏洞，可能允許未經授權的遠端註冊、日誌竄改或阻斷服務攻擊。,"NIST SP 800-30, H-4",外部攻擊者,攻擊者利用監聽器漏洞，遠端關閉資料庫服務，或將監聽器日誌導向錯誤的位置塞爆磁碟。,"NIST SP 800-30, D-2",未對監聽器設定密碼保護,Oracle TNS Listener未設定管理密碼，允許任何人都可以對其下達管理指令。,"CNS 27001, A.8.9"
軟體,資料庫管理系統 (Oracle),3. 預設帳號弱密碼 (Default account weak passwords),"Oracle資料庫安裝後，許多預設的帳號（如 SCOTT/TIGER, DBSNMP）若未被鎖定或更改密碼，將成為嚴重安全漏洞。","ISO/IEC 27005, A.10, TI03",內部人員 (意外),DBA在安裝完資料庫後，未執行安全腳本來鎖定或更改數十個預設帳號的密碼。,"NIST SP 800-30, G-4",缺乏資料庫部署後的安全檢查清單,沒有標準作業程序(SOP)要求在資料庫上線前，必須檢查並處理所有預設帳號。,"CNS 27001, A.8.9"
軟體,資料庫管理系統 (Oracle),4. 過高的 PUBLIC 角色權限 (Excessive privileges on 'PUBLIC' role),某些強大的套件(Package)或權限被授予了 PUBLIC 角色，導致資料庫中任何使用者都能執行這些高風險操作。,"ISO/IEC 27005, A.10, TI03",開發人員/DBA (意外),開發者為了方便，將某個自訂的函式執行權授予 PUBLIC，但該函式存在漏洞。,"NIST SP 800-30, G-4",未定期審核 PUBLIC 角色的權限,未定期檢查並撤銷(REVOKE)授予 PUBLIC 角色的非必要權限。,"CNS 27001, A.5.15"
軟體,資料庫管理系統 (Oracle),5. 透過 UTL_FILE 讀寫檔案 (File I/O via UTL_FILE),攻擊者利用Oracle內建的 UTL_FILE 套件，在資料庫伺服器的作業系統上讀取敏感檔案或寫入惡意腳本。,"NIST SP 800-30, H-4",外部攻擊者/內部攻擊者,攻擊者透過SQL注入，執行 UTL_FILE.FOPEN 來嘗試讀取 /etc/passwd 檔案。,"NIST SP 800-30, D-2",UTL_FILE_DIR 參數設定不當,UTL_FILE_DIR 初始化參數被設為 * 或指向 /tmp 危險目錄，允許資料庫對任意或敏感目錄進行讀寫。,"CNS 27001, A.8.9"
軟體,資料庫管理系統 (Oracle),6. 未啟用統一稽核 (Unified Auditing not enabled),未使用Oracle 12c之後提供的統一稽核功能，或稽核政策設定不完整，導致無法有效追蹤資料庫內的活動。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),DBA仍在使用傳統的、分散的稽核機制，難以管理與分析。,"NIST SP 800-30, G-4",缺乏對資料庫活動的全面監控策略,未制定完整的稽核政策，定義需要監控的物件、使用者與操作行為。,"CNS 27001, A.8.15"
軟體,資料庫管理系統 (Oracle),7. 資料庫軟體未修補 (Unpatched database software),Oracle資料庫存在已公開的漏洞，但DBA未及時安裝Oracle每季發布的關鍵修補程式更新(CPU/PSU)。,"NIST SP 800-30, H-4",外部攻擊者,攻擊者利用自動化工具，掃描網路上存在特定CVE漏洞的Oracle TNS Listener。,"NIST SP 800-30, D-2",弱點與修補程式管理流程不足,缺乏定期掃描資料庫漏洞的機制，或因擔心影響穩定性而延遲安裝重要的安全更新。,"CNS 27001, A.8.8"
軟體,資料庫管理系統 (Oracle),8. Data Pump 匯出檔未受保護 (Unprotected Data Pump export files),使用Data Pump (expdp) 匯出的 .dmp 檔案包含大量資料，若存放目錄權限不當或檔案未加密，容易造成整庫資料外洩。,"ISO/IEC 27005, A.10, TH07",內部攻擊者,任何可以登入資料庫伺服器作業系統的使用者，都能讀取到匯出的 .dmp 檔案。,"NIST SP 800-30, D-2",備份與匯出程序未考慮安全性,未對匯出的檔案設定加密，或將其存放在只有DBA才能存取的受限目錄中。,"CNS 27001, A.8.13"
軟體,資料庫管理系統 (Oracle),9. 未加密的資料傳輸 (Unencrypted data in transit),Oracle Net連線預設為明文傳輸，若未額外設定原生網路加密(NNE)或TLS，所有傳輸的資料都可被竊聽。,"ISO/IEC 27005, A.10, TH07",內部攻擊者,已滲透內網的攻擊者，透過Port Mirroring來監聽TCP 1521埠的流量，竊取資料。,"NIST SP 800-30, D-2",未設定 sqlnet.ora 加密參數,未在伺服器與客戶端的 sqlnet.ora 檔案中，設定 SQLNET.ENCRYPTION_SERVER = required 加密參數。,"CNS 27001, A.8.24"
軟體,資料庫管理系統 (Oracle),10. Java VM 權限濫用 (Abuse of Java VM privileges),攻擊者利用Oracle資料庫內建的Java VM (Aurora VM) 來載入並執行惡意的Java程式碼，可用於建立網路連線或執行系統指令。,"NIST SP 800-30, H-4",外部攻擊者/內部攻擊者,攻擊者透過SQL注入，建立一個惡意的Java Stored Procedure，並賦予其檔案或網路權限。,"NIST SP 800-30, D-2",未限制Java權限,未對資料庫使用者授予Java權限（如 dbms_java.grant_permission）進行嚴格的限制與審核。,"CNS 27001, A.8.9"
軟體,資料庫管理系統 (MySQL ),1. SQL注入式攻擊 (SQL Injection),攻擊者利用應用程式漏洞，注入MySQL特有的SQL語法，以竊取資料或讀寫檔案。,"ISO/IEC 27005, A.10, TH10",外部攻擊者,攻擊者利用 LOAD_FILE() 函式來讀取伺服器上的任意檔案，如 /etc/passwd。,"NIST SP 800-30, D-2",應用程式未使用預處理陳述式(Prepared Statements),PHP語言在連接MySQL時，直接將變數串接到SQL字串中，而非使用PDO或MySQLi的預處理功能。,"CNS 27001, A.8.28"
軟體,資料庫管理系統 (MySQL ),2. root 帳號密碼為空或弱密碼 (Empty or weak 'root' password),MySQL安裝後，預設的 root 帳號可能沒有密碼或使用弱密碼，且允許從任何主機連線。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),管理員為了方便，執行 mysql_secure_installation 腳本時未設定高強度密碼。,"NIST SP 800-30, G-4",缺乏資料庫部署後的安全檢查清單,沒有SOP要求在MySQL上線前，必須為root帳號設定高強度密碼，並限制其只能從localhost登入。,"CNS 27001, A.8.9"
軟體,資料庫管理系統 (MySQL ),3. 過高的應用程式連線權限 (Excessive application privileges),"應用程式使用的資料庫帳號被授予了 ALL PRIVILEGES，而非僅限其所需的 SELECT, INSERT 最小權限。","ISO/IEC 27005, A.10, TI03",開發人員 (意外),開發者為求快速，直接執行 GRANT ALL PRIVILEGES ON db.* TO 'user'@'localhost'。,"NIST SP 800-30, G-4",未落實最小權限原則,未針對應用程式的功能，精細地設定其對各個資料庫與資料表的存取權限。,"CNS 27001, A.5.15"
軟體,資料庫管理系統 (MySQL ),4. FILE 權限濫用 (Abuse of 'FILE' privilege),擁有 FILE 權限的資料庫使用者，可以透過 SELECT ... INTO OUTFILE 或 LOAD DATA INFILE 在伺服器上讀寫檔案，可能被用於寫入Web Shell。,"NIST SP 800-30, H-4",外部攻擊者/內部攻擊者,"攻擊者透過SQL注入，執行 SELECT ""<?php phpinfo();?>"" INTO OUTFILE ""/var/www/html/info.php""。","NIST SP 800-30, D-2",未限制 FILE 權限的授予,FILE 權限被輕率地授予非管理員帳號，特別是應用程式連線使用的帳號。,"CNS 27001, A.5.15"
軟體,資料庫管理系統 (MySQL ),5. 資料庫服務暴露於公網 (Publicly exposed database),MySQL/MariaDB的預設埠 3306/TCP 被設定為對整個網際網路開放，讓攻擊者可以直接進行暴力破解與漏洞掃描。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),雲端主機的防火牆(安全群組)設定錯誤，允許 0.0.0.0/0 來源連線至TCP 3306埠。,"NIST SP 800-30, G-4",網路區域劃分與存取控制不足,未將資料庫伺服器放置於獨立的、受嚴格存取管制的網路區域中。,"CNS 27001, A.8.20"
軟體,資料庫管理系統 (MySQL ),6. 未啟用稽核日誌 (Audit logging disabled),未安裝或啟用MySQL的稽核外掛(Audit Plugin)，導致無法追蹤資料庫的登入、查詢與變更歷史。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),DBA認為社群版的MySQL不提供稽核功能，或擔心啟用稽核會影響效能。,"NIST SP 800-30, G-4",缺乏資料庫活動監控(DAM),沒有部署專門的工具來監控、記錄與分析所有對資料庫的連線與查詢活動。,"CNS 27001, A.8.15"
軟體,資料庫管理系統 (MySQL ),7. 資料庫軟體未修補 (Unpatched database software),"MySQL或其分支(MariaDB, Percona)存在已公開的漏洞，但DBA未及時安裝廠商發布的安全更新版本。","NIST SP 800-30, H-4",外部攻擊者,攻擊者利用自動化工具，掃描網路上存在特定CVE漏洞的MySQL主機。,"NIST SP 800-30, D-2",弱點與修補程式管理流程不足,缺乏定期掃描資料庫漏洞的機制，或因擔心影響穩定性而延遲安裝重要的安全更新。,"CNS 27001, A.8.8"
軟體,資料庫管理系統 (MySQL ),8. 未加密的資料傳輸 (Unencrypted data in transit),應用程式與MySQL伺服器之間的連線未強制使用SSL/TLS加密，導致傳輸的資料可被竊聽。,"ISO/IEC 27005, A.10, TH07",內部攻擊者,已滲透內網的攻擊者，透過Port Mirroring來監聽TCP 3306埠的流量，竊取資料。,"NIST SP 800-30, D-2",未設定 require_secure_transport,未在MySQL伺服器設定檔中啟用 require_secure_transport 參數來強制所有連線必須加密。,"CNS 27001, A.8.24"
軟體,資料庫管理系統 (MySQL ),9. mysqldump 檔案未受保護 (Unprotected mysqldump files),使用 mysqldump 產生的SQL備份檔包含所有資料庫的結構與內容，若檔案權限不當或未加密，容易造成資料外洩。,"ISO/IEC 27005, A.10, TH07",內部攻擊者,備份腳本產生的 .sql 檔案權限被設為 644，導致任何本機使用者都能讀取。,"NIST SP 800-30, D-2",備份程序未考慮安全性,未對匯出的SQL檔案進行加密壓縮，或將其存放在只有root或mysql使用者才能存取的受限目錄中。,"CNS 27001, A.8.13"
軟體,資料庫管理系統 (MySQL ),"10. 使用者自訂函式(UDF)濫用 (Abuse of User-Defined Functions, UDF)",攻擊者利用MySQL的UDF機制，載入惡意的動態連結庫(.so)，並建立新的函式來執行作業系統指令。,"NIST SP 800-30, H-4",外部攻擊者/內部攻擊者,攻擊者透過SQL注入，將惡意的.so檔案寫入磁碟，然後執行 CREATE FUNCTION 來載入它。,"NIST SP 800-30, D-2",未限制外掛目錄的寫入權限,MySQL的外掛目錄(plugin_dir)可被資料庫服務帳號寫入，使得攻擊者可以輕易地植入惡意UDF。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (Tomcat),1. 預設管理介面暴露 (Default management interface exposed),Tomcat的管理介面(Manager App)與主機管理介面(Host Manager)使用預設或弱密碼，且對外網開放，導致攻擊者可上傳惡意WAR檔來部署後門。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),管理員為了方便遠端管理，將Tomcat Manager的管理埠對外開放，但未修改 tomcat-users.xml 中的預設密碼。,"NIST SP 800-30, G-4",部署程序中缺乏安全檢查步驟,標準部署流程中未包含「停用或保護管理介面」以及「變更預設密碼」必要安全措施。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (Tomcat),2. 伺服器版本資訊洩漏 (Server version banner disclosure),預設的錯誤頁面或HTTP回應標頭中，包含了詳細的Tomcat與Java版本號，有助於攻擊者尋找特定版本的漏洞。,"ISO/IEC 27005, A.10, TH07",外部攻擊者,攻擊者看到錯誤頁面顯示 Apache Tomcat/9.0.50，便可針對此版本已知的漏洞進行攻擊。,"NIST SP 800-30, D-2",未客製化錯誤頁面或修改伺服器標頭,未修改 server.xml 中的 Server 屬性，也未設定客製化的錯誤頁面來隱藏版本資訊。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (Tomcat),3. AJP 連接埠漏洞 (AJP connector vulnerability),Tomcat的AJP連接埠(預設8009)存在漏洞（如Ghostcat），若對外開放，可能被用於讀取任意檔案或執行遠端程式碼。,"NIST SP 800-30, H-4",外部攻擊者,攻擊者利用Ghostcat漏洞(CVE-2020-1938)，讀取 WEB-INF 目錄下的設定檔，竊取資料庫密碼。,"NIST SP 800-30, D-2",未停用或保護不使用的連接埠,若未使用AJP協定（如與Apache httpd整合），卻未在 server.xml 中將其註解或設定 requiredSecret 保護。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (Tomcat),4. 預設範例應用程式未刪除 (Default example applications not removed),Tomcat安裝後，預設會包含一些範例(examples)與說明文件(docs)應用程式，這些程式可能存在漏洞或洩漏資訊。,"ISO/IEC 27005, A.10, TI03",內部人員 (意外),"管理員在部署Tomcat後，未將 webapps 目錄下的 docs, examples, manager, host-manager 目錄刪除。","NIST SP 800-30, G-4",缺乏Tomcat安全強化(Hardening)指南,沒有SOP指導管理員在部署Tomcat後應執行的必要安全步驟。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (Tomcat),5. SHUTDOWN 指令埠暴露 (SHUTDOWN port exposure),Tomcat的關閉埠(預設8005)若未受防火牆保護，且關閉指令(SHUTDOWN)未被修改，攻擊者可從本機或內網輕易地將Tomcat服務關閉。,"ISO/IEC 27005, A.10, TH11",內部攻擊者,內網中任何使用者都可以透過 telnet localhost 8005 並輸入關閉指令來癱瘓服務。,"NIST SP 800-30, D-2",未修改或保護關閉指令與埠,未在 server.xml 中將 shutdown 指令修改為一個複雜的隨機字串，或透過防火牆限制只有特定主機可連線。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (Tomcat),6. 目錄列表功能啟用 (Directory listing enabled),若某個目錄下沒有預設的歡迎頁面(如index.html)，Tomcat預設會將該目錄下的所有檔案列表顯示出來，可能洩漏原始碼或設定檔。,"ISO/IEC 27005, A.10, TH07",外部攻擊者,攻擊者瀏覽到一個圖片上傳目錄，伺服器直接列出了所有使用者上傳的圖片檔名。,"NIST SP 800-30, D-2",未停用目錄列表功能,未在 web.xml 中，將 DefaultServlet 的 listings 參數設為 false。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (Tomcat),7. 不安全的加密演算法設定 (Insecure cipher suite configuration),Tomcat的TLS/SSL設定(在 server.xml 的Connector中)過於老舊，仍支援已知的弱加密演算法或過時的協定版本。,"NIST SP 800-30, H-4",外部攻擊者,攻擊者可透過中間人攻擊，強制瀏覽器與伺服器降級使用不安全的加密協定，進而竊聽內容。,"NIST SP 800-30, D-2",沿用預設或過時的加密設定,管理員未定期檢視並更新Tomcat的TLS/SSL組態，以符合最新的安全最佳實踐。,"CNS 27001, A.8.24"
軟體,應用程式伺服器 (Tomcat),8. Session 固定攻擊 (Session fixation),Tomcat在使用者成功登入後，未自動更新其Session ID，讓攻擊者有機會劫持會話。,"NIST SP 800-30, H-4",外部攻擊者,攻擊者將 http://example.com/?JSESSIONID=xyz 的連結傳送給受害者。,"NIST SP 800-30, D-2",未設定 changeSessionIdOnAuthentication,"未在 context.xml 中設定 <Manager changeSessionIdOnAuthentication=""true"" /> 來自動更新Session ID。","CNS 27001, A.8.26"
軟體,應用程式伺服器 (Tomcat),9. 自動部署功能濫用 (Auto-deployment abuse),Tomcat的自動部署(autoDeploy)功能若被啟用，任何有權限將檔案放入特定目錄（如 webapps）的人，都能夠部署新的Web應用程式。,"ISO/IEC 27005, A.10, TH10",內部攻擊者,攻擊者在取得伺服器的低權限後，上傳一個包含後門的WAR檔到 webapps 目錄，Tomcat便會自動將其部署。,"NIST SP 800-30, D-2",未停用非生產環境所需的功能,在生產環境中，仍啟用為了開發方便而設計的自動部署功能。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (Tomcat),10. 記憶體洩漏 (Memory leak),Web應用程式存在程式碼缺陷，導致記憶體使用量隨時間不斷增加而無法釋放，最終觸發Tomcat的 OutOfMemoryError 而崩潰。,"ISO/IEC 27005, A.10, TO01",開發人員 (意外),Java應用程式中的物件參照未被正確清除，導致Tomcat的垃圾回收機制(GC)無法回收記憶體。,"NIST SP 800-30, G-4",缺乏應用程式效能監控(APM)與測試,上線前未進行長時間的壓力測試，也未在正式環境部署APM工具來監控JVM的記憶體使用狀況。,"CNS 27001, A.8.16"
軟體,應用程式伺服器 (IIS),1. 詳細錯誤訊息洩漏 (Verbose error messages leakage),IIS在發生錯誤時，向遠端使用者顯示了包含程式碼路徑、原始碼片段或資料庫錯誤的詳細訊息。,"ISO/IEC 27005, A.10, TH07",外部攻擊者,攻擊者故意提交錯誤的參數，從回傳的錯誤訊息中，得知了網站的實體路徑與使用的.NET版本。,"NIST SP 800-30, D-2",未設定客製化錯誤頁面,未在 web.config 中將 customErrors 模式設為 On 或 RemoteOnly，並指定統一的錯誤頁面。,"CNS 27001, A.8.28"
軟體,應用程式伺服器 (IIS),2. HTTP.sys 核心驅動程式漏洞 (HTTP.sys kernel driver vulnerability),IIS底層的HTTP協定堆疊(HTTP.sys)存在漏洞，可能允許攻擊者遠端執行程式碼或造成系統藍白畫面(BSOD)。,"NIST SP 800-30, H-4",外部攻擊者,攻擊者發送一個特製的惡意HTTP請求，觸發HTTP.sys的緩衝區溢位，取得系統核心權限。,"NIST SP 800-30, D-2",未安裝最新的Windows安全性更新,管理員僅更新上層應用程式，但忽略了作業系統核心層級的安全性更新。,"CNS 27001, A.8.8"
軟體,應用程式伺服器 (IIS),3. 短檔名洩漏 (Short filename disclosure),IIS對於使用 ~ 的短檔名猜測請求，其回應方式會洩漏檔案或目錄是否存在，攻擊者可藉此暴力猜測敏感檔案的短檔名。,"ISO/IEC 27005, A.10, TH07",外部攻擊者,攻擊者請求 WEB-INF/web~1.xml，若得到404回應，表示檔名猜測正確，進而推斷出完整檔名。,"NIST SP 800-30, D-2",未停用8.3短檔名產生功能,Windows作業系統的NTFS檔案系統中，未停用產生8.3格式短檔名的功能。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (IIS),4. WebDAV 功能濫用 (WebDAV feature abuse),IIS上若啟用了WebDAV模組，且權限設定不當，可能允許攻擊者上傳、下載、修改或刪除網站檔案，甚至上傳惡意腳本。,"NIST SP 800-30, H-4",外部攻擊者,攻擊者利用WebDAV的PUT方法，上傳一個ASPX Web Shell到網站目錄中。,"NIST SP 800-30, D-2",安裝了非必要的IIS角色與功能,在安裝IIS時，勾選了所有功能，而非僅安裝應用程式實際需要的最少模組。,"CNS 27001, A.8.9"
軟體,應用程式伺服器 (IIS),5. 應用程式集區身分識別不當 (Improper Application Pool identity),"應用程式集區(Application Pool)使用具有過高權限的帳號（如Local System, Network Service）來運行，一旦應用程式被駭，攻擊者將獲得高權限。","ISO/IEC 27005, A.10, TI03",內部人員 (意外),管理員為了解決一個檔案權限問題，便宜行事將App Pool的身分識別設為Administrator。,"NIST SP 800-30, G-4",未落實最小權限原則,未為每個網站建立專屬的、低權限的本機或網域使用者帳號，來作為其應用程式集區的身分識別。,"CNS 27001, A.5.15"
軟體,應用程式伺服器 (IIS),6. 伺服器版本資訊洩漏 (Server version banner disclosure),HTTP回應標頭中的 Server: Microsoft-IIS/10.0 洩漏了IIS的版本，有助於攻擊者尋找特定版本的漏洞。,"ISO/IEC 27005, A.10, TH07",外部攻擊者,攻擊者使用掃描工具，收集網站使用的軟體版本，以便後續進行針對性攻擊。,"NIST SP 800-30, D-2",未使用URL Rewrite模組移除標頭,"未安裝並設定URL Rewrite模組，來移除或修改 Server, X-AspNet-Version, X-Powered-By HTTP標頭。","CNS 27001, A.8.9"
